Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2003-01-13,0.266071,0.266071,0.256429,0.26125,178942400,0.223702
2003-01-14,0.262321,0.264643,0.25875,0.260893,186860800,0.223396
2003-01-15,0.260536,0.2625,0.254643,0.257679,371128800,0.220644
2003-01-16,0.25375,0.263571,0.25375,0.261071,559070400,0.223548
2003-01-17,0.26,0.26,0.251429,0.251786,266761600,0.215598
2003-01-21,0.25375,0.257321,0.25,0.250357,253456000,0.214374
2003-01-22,0.249643,0.252679,0.246429,0.247857,215140800,0.212234
2003-01-23,0.250893,0.256429,0.249107,0.253036,228256000,0.216668
2003-01-24,0.254286,0.254286,0.242143,0.246429,305468800,0.211011
2003-01-27,0.244286,0.258929,0.24375,0.252321,391406400,0.216056
2003-01-28,0.254286,0.262321,0.252857,0.260357,286255200,0.222937
2003-01-29,0.259821,0.269643,0.255357,0.266607,373044000,0.228289
2003-01-30,0.2675,0.269107,0.255179,0.255714,407058400,0.218961
2003-01-31,0.253393,0.259821,0.250893,0.256429,341224800,0.219573
2003-02-03,0.257321,0.26625,0.25625,0.261786,264784800,0.224161
2003-02-04,0.258036,0.261607,0.255536,0.260714,317413600,0.223243
2003-02-05,0.262679,0.266607,0.257857,0.258036,221614400,0.22095
2003-02-06,0.256429,0.260536,0.253929,0.257679,179149600,0.220644
2003-02-07,0.259821,0.260714,0.25125,0.252679,269701600,0.216362
2003-02-10,0.254643,0.260179,0.251071,0.25625,167888000,0.21942
2003-02-11,0.258929,0.26125,0.253571,0.25625,164780000,0.21942
2003-02-12,0.254821,0.260714,0.254821,0.256964,228687200,0.220032
2003-02-13,0.257321,0.261429,0.254286,0.259643,208493600,0.222326
2003-02-14,0.260893,0.262857,0.25625,0.261964,243297600,0.224313
2003-02-18,0.263393,0.273214,0.262857,0.272679,290897600,0.233488
2003-02-19,0.269107,0.270536,0.262143,0.265179,240368800,0.227066
2003-02-20,0.265179,0.267143,0.262679,0.26375,224352800,0.225842
2003-02-21,0.264643,0.268929,0.261607,0.267857,157444000,0.229359
2003-02-24,0.265357,0.268393,0.246429,0.263214,180252800,0.225383
2003-02-25,0.262143,0.269286,0.260357,0.268214,188641600,0.229665
2003-02-26,0.267679,0.268214,0.258571,0.258929,217095200,0.221714
2003-02-27,0.260179,0.267857,0.259107,0.265357,154341600,0.227218
2003-02-28,0.265357,0.269464,0.26375,0.268036,195098400,0.229512
2003-03-03,0.268036,0.270714,0.259821,0.261607,203761600,0.224007
2003-03-04,0.263214,0.264464,0.257857,0.26,126414400,0.222631
2003-03-05,0.260893,0.264286,0.259286,0.261071,126683200,0.223548
2003-03-06,0.260357,0.260714,0.257143,0.26,99859200,0.222631
2003-03-07,0.258393,0.262679,0.255536,0.259464,200984000,0.222172
2003-03-10,0.259107,0.261964,0.255357,0.256607,134573600,0.219726
2003-03-11,0.256429,0.25875,0.252143,0.254107,161190400,0.217585
2003-03-12,0.253036,0.256964,0.251071,0.253929,222560800,0.217433
2003-03-13,0.258393,0.264286,0.253036,0.262857,335445600,0.225078
2003-03-14,0.262143,0.268036,0.261429,0.263929,153098400,0.225996
2003-03-17,0.265893,0.269107,0.262679,0.268036,399912800,0.229512
2003-03-18,0.267857,0.269464,0.264643,0.267857,229980800,0.229359
2003-03-19,0.269107,0.270536,0.264107,0.266964,141316000,0.228594
2003-03-20,0.266607,0.267679,0.260714,0.26625,163178400,0.227983
2003-03-21,0.269464,0.270536,0.264643,0.267857,297948000,0.229359
2003-03-24,0.261964,0.264286,0.25625,0.256607,161100800,0.219726
2003-03-25,0.257321,0.264821,0.256607,0.259821,167697600,0.222478
2003-03-26,0.259821,0.26,0.255357,0.257321,178343200,0.220337
2003-03-27,0.255714,0.2625,0.255714,0.25875,122393600,0.221561
